DOC Start at : Sun Feb 14 11:08:44 2021

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613318925 11:08:45       46      86      73     117     286      12      81      63      64      74     165      63      65     257      100    107    207   286 1596    257 1917    543   1
P3 1613318926 11:08:46       71      94     194     199     234     113      92      98      31     110     118     439     419     282      142    213    355   234 1596    439 1911    673   1
P3 1613318927 11:08:47       34      26      14      10      44      33      22       1      23       7      46      54      63      22       26     30     56    44 1596     63 1914    107   4
P3 1613318928 11:08:48        4       4       6      15       2      14       5      22      16      14      11       6       0      39        7     15     22    15 1592     39 1917     54   3
P3 1613318929 11:08:49       37       0      47     101      37      25      13       5      34       0      19      14      18     157       37     35     72   101 1592    157 1917    258   3
P3 1613318930 11:08:50        0       0      18       4      38      38      23      26      52      32      32      27     149      79       17     56     73    38 1596    149 1914    187   3
P3 1613318931 11:08:51       57      40      39      37     125      46      48       9     115     204      16      14      24       9       56     55    111   125 1596    204 1905    329   3
P3 1613318932 11:08:52        6      38      50      10       1       4       5      42       6      10      24     139     120      48       16     55     71    50 1590    139 1911    189   2
P3 1613318933 11:08:53     1844    1016    1159     216     813    2817    4194    1778      28    5039   14107   11244   18408   15869     1722   9496  11218  4194 1602  18408 1914  22602   4
P3 1613318934 11:08:54       43      69       8       1       9     124     216     420      85     761     549      17     109     401       67    334    401   216 1602    761 1905    977   3
P3 1613318935 11:08:55      454    1307    3136    3646    1247     482    3295     104     150      59     112       6       6       9     1938     63   2001  3646 1592    150 1902   3796   1
P3 1613318936 11:08:56       21      96      51       3      42      45       7      20      43      30      26      29      78      81       37     43     80    96 1586     81 1917    177   3
P3 1613318937 11:08:57      527     103     364     171     187     350     112     496     394     272    1947    3480     918      10      259   1073   1332   527 1584   3480 1911   4007   1
P3 1613318938 11:08:58       24     231     433     402      66     256     401      18      41      43      22       1      12      58      259     27    286   433 1590     58 1917    491   3
P3 1613318939 11:08:59       26     164     158     175      83      42      12      42      16       0      15       0       8      14       94     13    107   175 1592     42 1898    217   1
P3 1613318940 11:09:00       53      64      75      76     111      21      87    1245     967     193     105     109     106      65       69    398    467   111 1596   1245 1898   1356   3
P3 1613318941 11:09:01      110     151      32       1      12      22      47       9       6      25      13      13      56     148       53     38     91   151 1586    148 1917    299   3
P3 1613318942 11:09:02      103      58     186     272     228     209     143       9      44      40      75      19      73     160      171     60    231   272 1592    160 1917    432   3
P3 1613318943 11:09:03      815    1348    2254    1804      83    1017    2989      98     144     230      57       2       8       5     1472     77   1549  2989 1602    230 1905   3219   1
P3 1613318944 11:09:04      115      96      86      32      18      46      55      35      21       3      61      46       9      29       64     29     93   115 1584     61 1908    176   3
P3 1613318945 11:09:05       44      56      17      15      12      20       8      77      28      17      84     156      89      49       24     71     95    56 1586    156 1911    212   2
P3 1613318946 11:09:06       26       4      13     124      98       7      73      10       1      36      35      28      39      17       49     23     72   124 1592     39 1914    163   3
P3 1613318947 11:09:07       23      67      46      20      10       1      29      79     105     153      70     160      59      12       28     91    119    67 1586    160 1911    227   3
P3 1613318948 11:09:08      174     380      71      13     462     595     240    1170       5     295      84      95      37     110      276    256    532   595 1599   1170 1898   1765   3
P3 1613318949 11:09:09       31      16       3       8      20      16       7      41       2      21       7     112      92      68       14     49     63    31 1584    112 1911    143   3
